pid,old-pid,gid,unique gid,goaldisrupted,old-cid,goal-statement,Goal categories,cid,uniquecid,Goal scope,rep-id,Situation that occurred ,Duplicate?,notes- circumstance,barrier or event,circumstance,socio-ecological layer,socio_ecological,Repeating for another goal,Life Event?,Pre-existing?,how-long,notes,frequency,notes,,affect-wellbeing,affect-logistical,Disruption labor produced,Disruption labor produced,Disruption labor produced,affect-goal: how did circumstance affect your goal? (answer only if ,change- how did you change your goal in response to circumstance,Goal changes,notes,,,,,
S114,S122,goal1,S114goal1,,circ2,Lose 15 pounds,Weight management,circ2,S114goal1circ2,Long term,,Travel,Yes,,event-external,I wasn't able to exercise because I was traveling still.,Behaviors and Biological Factors,Behavior/Biological,,No,No,multiple days to a week,,every 6 months,,,I felt a little worse because I wasn't as active as I would have liked to be.,NA,Emotional,,,I wasn't to stay active to increase my speed of losing weight.,"I just put my goal on hold for about a week, and I planned to restart after it was over.",Paused,,,,,,
S114,S122,goal2,S114goal2,,circ2,Save money to remodel our kitchen.,Housing,circ2,S114goal2circ2,Long term,r31,Travel,Yes,,event-external,I spent more money on our vacation than I had originally thought I would.,Psychosocial Factors,Psychosocial,Yes,No,No,multiple weeks to a month,,every 6 months,,,It disappointed me knowing that I will need to delay our remodeling project further.,NA,Emotional,Financial,,na,I won't be able to put as much into our kitchen fund this month because of the extra purchases we made.,Paused,,,,,,
S115,S123,goal3,S115goal3,,circ1,meditate/yoga at least once a week,Mental health and wellbeing,circ1,S115goal3circ1,Medium term,,Caregiving,No,,barrier-unconfident,time constraints,Living and Working Conditions,Social/Community,No,No,Yes,multiple months to a year,,weekly,,,see 1,see 1,Emotional,,,see 1,With less time I choose to spend it with my kids and not in my gym,Abandoned,,,,,,
S115,S123,goal2,S115goal2,,circ1,BMI less than 25,Weight management,circ1,S115goal2circ1,Long term,,Internal - Feelings and thoughts,No,,barrier,Depression,Psychosocial Factors,Psychosocial,No,No,Yes,multiple months to a year,,daily,okay,recurring,see 1,I have had to try and work out more and find activities that make me happy. I have been sewing and donating the items to charity it helps me feel better,Emotional,,,see 1,"When depressed you often don't care, or you have anxiety and comfort food temporarily helps with that",Paused,,,,,,
S115,S123,goal1,S115goal1,,circ1,savings of 1000,Financial Stability/Safety,circ1,S115goal1circ1,Medium term,,Employment,No,,barrier-unconfident,the economy and loss of income related to support of children and day care expense,Social and Community Networks,Socioeconomic/Political,No,No,Yes,multiple months to a year,,monthly,,,It made me fell like I was failing and stressed me out,n/a,Emotional,Financial,,Without the support I had to pull sometimes from savings to keep everything going in my house hold and keep my kids in care so I could work,I had to use my savings to float at the time but am now actively working to get on track,Paused,,,,,,
S05,S05,goal2,S05goal2,,circ1,Set aside $400 a month to spend on social events,Recreation,circ1,S05goal2circ1,Medium term,r7,Finances,No,,event-external,I had unexpected bills come up that i had to use the money for,Psychosocial Factors,Psychosocial,Yes,No,No,multiple days to a week,,monthly,,,I was stressed out as i wasn't able to set aside my usual amount to spend and have fun that month,,Emotional,,,,It just didn't get met and i had to stay at home instead of going to parties,Abandoned,,,,,,
S116,S124,goal2,S116goal2,,circ1,Eat three meals a day,Nutrition,circ1,S116goal2circ1,Medium term,,Health,No,,barrier-unconfident,Recovering from an eating disorder,Psychosocial Factors,Behavior/Biological,,No,Yes,longer than a year,assuming recovery as a big continous period of disruption,daily,not okay,non-recurring,Many symptoms affecting my physical and mental health,na,Emotional,,,Eating disorder can cause me to skip meals,"Going to therapy, creating plans to make sure I eat enough",Changed/ adopted support,,,,,,
S116,S124,goal4,S116goal4,,circ1,Keep up with cleaning,Cleaning/organizing,circ1,S116goal4circ1,Medium term,,Internal - Feelings and thoughts,No,,barrier,Tiredness,Behaviors and Biological Factors,Behavior/Biological,,No,Yes,longer than a year,,daily,okay,recurring,na,na,Physical,,,Makes my vody too tired to carry out chores,Making sure I am getting enough food and sleep,Skipped,,,,,,
S116,S124,goal1,S116goal1,,circ1,Get enough sleep,Sleep,circ1,S116goal1circ1,Medium term,,Internal - Feelings and thoughts,No,,barrier,General anxiety,Psychosocial Factors,Psychosocial,,No,No,longer than a year,,weekly,,,"Makes me feel overwhelmed, scared, distracted",na,Emotional,,,Made me feel too restless to sleep,"Deep breathing before going to sleep, avoiding too much caffeine, melatonin",Changed environment,,,,,,
S116,S124,goal1,S116goal1,,circ2,Get enough sleep,Sleep,circ2,S116goal1circ2,Medium term,,Pain,No,,event-internal,Leg pain,Behaviors and Biological Factors,Behavior/Biological,,No,No,longer than a year,,weekly,,,na,Can affect me during the day as well,Physical,,,Likely restless leg syndrome,Pain medication,No change,,,,,,
S116,S124,goal3,S116goal3,,circ1,Lessen symptoms of anxiety and depression,Mental health and wellbeing,circ1,S116goal3circ1,Long term,r32,Work,No,,event-external,School starting,Living and Working Conditions,Living/Working,Yes,No,No,longer than a year,,every 6 months,,,na,na,Emotional,,,"Feeling overwhelmed and stressed with work, homesickness, loneliness","Go to therapy, time management and keeping up with assignments using my planner",No change,,,,,,
S116,S124,goal1,S116goal1,,circ3,Get enough sleep,Sleep,circ3,S116goal1circ3,Medium term,,Weather,No,,event-external,Heat,Psychosocial Factors,Living/Working,,No,No,multiple months to a year,assuming it is because of season,daily,not okay,non-recurring,na,na,Emotional,,,Uncomfortable,Turned on fan,No change,,,,,,
S117,S125,goal1,S117goal1,,circ3,To get my teeth pulled,Health - other,circ3,S117goal1circ3,Medium term,,Caregiving,No,,barrier-unconfident,Caring for disabled children,Social and Community Networks,Social/Community,,No,Yes,multiple weeks to a month,,weekly,,,I'm often out of time,Na,Logistical,,,She had several surgery in a week and is still healing and I ca4 for her,I'm going to get it done after my daughter is medically able to leave more often,Paused,,,,,,
S05,S05,goal4,S05goal4,,circ1,Go on at least 2 vacations a year,Recreation,circ1,S05goal4circ1,Long term,r7,Finances,Yes,,event-external,Other bills came up that i had to pay so money wasn't there for vacations,Psychosocial Factors,Psychosocial,Yes,No,No,multiple days to a week,,every 6 months,,,I felt bummed that i couldn't go on vacations,,Emotional,,,,It just didn't happebn,Abandoned,,,,,,
S06,S06,goal1,S06goal1,,circ1,advancing my knowledge at my work place,Work/Career,circ1,S06goal1circ1,Long term,r8,Finances,No,seems to be related to low paycheck/ not having enough money and more of a barrier than an isolated event,barrier,they pay check i just got ;(,Psychosocial Factors,Psychosocial,Yes,No,No,multiple days to a week,,every other week,,,it caused me to be emotionally stressed.. affecting other areas of my life,,Emotional,,,it was beneath my cost of living,i stayed focus on the long term goal.,No change,,,,,,
S117,S125,goal1,S117goal1,,circ1,To get my teeth pulled,Health - other,circ1,S117goal1circ1,Medium term,,Transportation,No,,event-external,No working vehicle,Living and Working Conditions,Living/Working,,No,No,longer than a year,,monthly,,,Causes anxiety and prevents me from earning money because I am not physically capable to walk to much,I did delivery work when I had my vehicle,Emotional,Physical,,Na,Getting rides to appointment,Paused,,,,,,
S06,S06,goal3,S06goal3,,circ3,Practicing patience,Mental health and wellbeing,circ2,S06goal3circ2,Aspirational,,Finances,Yes,seems to be related to low paycheck/ not having enough money and more of a barrier than an isolated event,barrier,financial struggles,Psychosocial Factors,Psychosocial,Yes,No,Yes,an hour or less,,daily,,,it causes stess,,Emotional,,,because its frustrating when your trying so hard and still struggling,i try to tell myself its temporary,Changed thoughts or belief,,,,,,
S06,S06,goal5,S06goal5,,circ1,saving 50 dollars a week for something my daughter wants,Social connection,circ1,S06goal5circ1,Medium term,,Finances,No,,event-external,bills,Psychosocial Factors,Psychosocial,No,No,No,an hour or less,,daily,,,because sometimes i cant afford things we need,,Financial,,,i had to sacrifice and put off my goal because of bills,,Skipped,updated based on updated coding definition,,,,,
S118,S126,goal1,S118goal1,,circ1,pay down credit card debt,Financial Stability/Safety,circ1,S118goal1circ1,Long term,r34,Travel,No,,event-external,had to travel out of town to a work conference and spent more on food and entertainment than budgeted.,Living and Working Conditions,Living/Working,Yes,No,No,multiple weeks to a month,,every 6 months,,,I do feel a little stressed and sad that my goal is a little further out now.,I had to review all of my expenses and look for other areas where I could cut back to make up for the extra spending this month.,Emotional,Financial,Logistical,"I was away from home, so I wasn't able to cook my meals at home to save money.",I had to adjust the amount I was able to pay towards my debt this month.,Changed quantity,,,,,,
S118,S126,goal2,S118goal2,,circ1,lose weight,Weight management,circ1,S118goal2circ1,Long term,r34,Travel,Yes,,event-external,I was out of town so I wasn't able to cook healthy meals at home.,Behaviors and Biological Factors,Behavior/Biological,Yes,No,No,multiple days to a week,,every 6 months,,,I have had anxiety and stress over the setback. My poor eating has also given me less energy.,I had to make a meal plan for the week and track my eating,Emotional,Physical,Logistical,I wasn't eating healthy and most likely didn't lose or gained weight this week.,I made a meal plan for the week so I could get back on track with healthy homemade meals.,Skipped,,,,,,
S118,S126,goal2,S118goal2,,circ2,lose weight,Weight management,circ2,S118goal2circ2,Long term,,Work,No,,event-external,I have been busy at work and not had time to go to the gym.,Living and Working Conditions,Living/Working,,No,No,multiple days to a week,,monthly,,,"Anytime I am not exercising regularly, I am more stressed and tired.","I am trying to catch up on work and household duties, so that I have more free time to go to the gym.",Emotional,Logistical,,"I got out of the habit of going to the gym, so now it is much harder to get back into my routine.",I have been trying to make up for not going to the gym by spending more time on housework.,Skipped,,,,,,
S119,S127,goal3,S119goal3,,circ1,To lose weight,Weight management,circ1,S119goal3circ1,Long term,,Internal - Feelings and thoughts,No,,barrier-unconfident,I felt unmotivated,Psychosocial Factors,Psychosocial,,No,No,multiple months to a year,,weekly,,,I felt depressed and extremely insecure.,I would watch motivational videos on Instagram.,Emotional,,,I would be unable to follow my diet or I would skip out on the gym.,"I started to do smaller, shorter workouts and diet changes instead of a full blown diet and gym every day routine.",Changed quantity,,,,,,
S119,S127,goal2,S119goal2,,circ1,To practice mindfulness in my every day life,Mental health and wellbeing,circ1,S119goal2circ1,Medium term,,Social interactions - negative,No,,barrier-unconfident,Household is busy and demanding of my time,Living and Working Conditions,Living/Working,,No,No,multiple days to a week,,every other week,,,I felt overwhelmed and suffocated.,I spoke with my family and asked them to allow me some alone time every day.,Emotional,,,"When I would try to focus on work on anything, my time would always be cut short or interrupted by family.",I specificed a room to myself to be alone,Changed environment,,,,,,
S119,S127,goal1,S119goal1,,circ1,To make a better effort to get my dream career,Work/Career,circ1,S119goal1circ1,Medium term,,Work,No,,event-external,Failed a semester of college,Living and Working Conditions,Living/Working,,No,No,multiple months to a year,,yearly or less,,,I felt guilty and like I was a failure.,I focused on my mental health by journaling and practicing mindfulness to prepare to retake them.,Emotional,,,"My dream career is one that I can only acquire through a college education, and if I fail to get my degree, I will likely never get that job.",I took a small break during the summer to mentally prepare to retake those classes.,No change,,,,,,
S12,S12,goal4,S12goal4,,circ3,drink more water,Nutrition,circ2,S12goal4circ2,Medium term,,Internal - Feelings and thoughts,No,,event-internal,I don't want to have to pee all the time at work,Living and Working Conditions,Behavior/Biological,No,No,No,multiple weeks to a month,,daily,,,I am dehydrated and feel guilty,,Emotional,,,it is not easy to excuse myself to the restroom during my busy work day and it is inconvenient,this is not that easy to work around unfortunately,No change,,,,,,
S06,S06,goal5,S06goal5,,circ2,saving 50 dollars a week for something my daughter wants,Social connection,circ2,S06goal5circ2,Medium term,r8,Finances,Yes,seems to be related to low paycheck/ not having enough money and more of a barrier than an isolated event,barrier,not making enough money,Psychosocial Factors,Psychosocial,Yes,No,No,multiple days to a week,,daily,,,it is stressfull and i feel like a failure to my family,,Emotional,,,i couldnt save the money for her sometimes,im trying to do more stuff outside of work to make extra money,Skipped,updated based on updated coding definition,,,,,
S08,S08,goal1,S08goal1,,circ4,save up enough money to move out,Housing,circ3,S08goal1circ3,Long term,,Finances,No,,barrier,not having enough money to save up,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,monthly,,,guilt,,Emotional,,,,trying to find more ways to make money,Changed quantity,,,,,,
S12,S12,goal4,S12goal4,,circ1,drink more water,Nutrition,circ1,S12goal4circ1,Medium term,,Internal - Feelings and thoughts,No,,event-internal,I forget,Psychosocial Factors,Psychosocial,No,No,No,multiple weeks to a month,,daily,,,I feel guilty and dehydrated,,Emotional,,,I don't drink enough because hours have passed and I haven't had the amount of water I need,I am thinking I might try to set an alert on my phone,Changed environment,,,,,,
S12,S12,goal1,S12goal1,,circ4,lose 10 pounds,Weight management,circ4,S12goal1circ4,Medium term,,Sleep,No,,barrier-unconfident,not enough sleep keeping the pounds on,Behaviors and Biological Factors,Behavior/Biological,No,No,No,multiple weeks to a month,,daily,,,I am tired and groggy all the time and feel awful,,Emotional,,,It's difficult to lose weight when you are sleep deprived,I am just working harder to fix my finances so I can resume my goal,Paused,,,,,,
S12,S12,goal3,S12goal3,,circ1,get more sleep,Sleep,circ1,S12goal3circ1,Medium term,,Social interaction - other,No,,event-external,my cat,Psychosocial Factors,Social/Community,No,No,No,multiple weeks to a month,,daily,,,she increases my stress,,Emotional,,,she is constantly waking me up at night to be fed and paid attention to because she is awake,I try my best but she wakes me up about every hour,Abandoned,,,,,,
S12,S12,goal1,S12goal1,,circ1,lose 10 pounds,Weight management,circ1,S12goal1circ1,Medium term,,Work,No,work related,event-internal,too tired to exercise,Behaviors and Biological Factors,Behavior/Biological,No,No,No,multiple days to a week,,daily,,,it makes me sad and unhealthy and stressed/ mentally not well and sad and stressed all the time and feel like I can't make the changes I want,,Emotional,,,too tired from work to devote time and energy to exercise/ Stress makes losing weight a lot harder,I just didn't work towards my goal/ I am trying to change my financial situation so I can resume my goal,Skipped,,,,,,
S12,S12,goal3,S12goal3,,circ3,get more sleep,Sleep,circ3,S12goal3circ3,Medium term,,Social interaction - other,Yes,cat,event-external,having to get up early and getting home late,Psychosocial Factors,Social/Community,No,No,No,multiple weeks to a month,,daily,,,I have no time to take care of myself,,Emotional,,,I have less than 6 hours to sleep and I struggle to fall asleep and stay asleep because my cat constantly wakes me up,there isn't much I can do right now,Abandoned,,,,,,
S120,S129,goal2,S120goal2,,circ1,"Working on a low sodium, high fiber, low carbohydrates, and less meats for healthier eating.",Nutrition,circ1,S120goal2circ1,Medium term,,Diet,No,,event-external,I got some coffee at Starbucks that included sugar and creamer that interfered with my normal way I fix my own coffee.,Psychosocial Factors,Behavior/Biological,,No,No,multiple months to a year,,yearly or less,,,NA,NA,No response,,,NA,I normally would use plant based creamer due to not being home I got half and half creamer which is out of my normal.,Skipped,,,,,,
S120,S129,goal3,S120goal3,,circ1,My goal is to have my auto loan of 36 months left on my SUV paid off by end of 2025.,Financial Stability/Safety,circ1,S120goal3circ1,Long term,,Employment,No,,event-external,I had suffered a lost in my income that has temporarily delayed me being able to payoff my loan longer than expected.,Socioeconomic and Political Context,Psychosocial,,Yes,No,longer than a year,,yearly or less,,,NA,NA,No response,,,NA,Major changes with income.,Paused,,,,,,
S120,S129,goal4,S120goal4,,circ1,I am working on getting back on track with my spiritual daily devotions and affirmations.,Mental health and wellbeing,circ1,S120goal4circ1,Medium term,,Internal - Feelings and thoughts,No,,barrier-unconfident,No real excuse I had just gotten slothful with not making myself stay focus on my daily readings.,Psychosocial Factors,Psychosocial,,No,No,multiple days to a week,,weekly,,,NA,NA,Emotional,,,Less motivated and distracted.,NA,Skipped,,,,,,
S120,S129,goal5,S120goal5,S120goal3,circ1,My goal is to pursue finding more work from gigs so that I can rebuild my saving account.,Financial Stability/Safety,circ1,S120goal5circ1,Medium term,,Internal - Feelings and thoughts,Yes,,barrier-unconfident,Some days I just was just not feeling up to the task.,Psychosocial Factors,Psychosocial,,No,No,more than half a day to a day,,yearly or less,,,Feeling fatigue and mentally drained.,NA,Emotional,,,Less motivated with looking.,,Skipped,,,,,,
S120,S129,goal1,S120goal1,,circ1,I am currently working on a routine exercise workout consisting of walking and light weight strengthening.,Physical Activity,circ1,S120goal1circ1,Medium term,,Health,No,,event-external,I had medical appointments and home repair work within the last two days.,Living and Working Conditions,Living/Working,,No,No,multiple days to a week,,monthly,,,Same as previous response,NA,Physical,,,The doctor appointment was for a Echo cardio test and due to feeling fatigue and recently diagnose with a heart murmur.,I was not feeling physically up to working out with so much going along with feeling more fatigue than usual.,Skipped,,,,,,
S120,S129,goal1,S120goal1,,circ2,I am currently working on a routine exercise workout consisting of walking and light weight strengthening.,Physical Activity,circ2,S120goal1circ2,Medium term,,Social interaction - other,No,,event-external,I also helped a good friend out with taking her a few errands.,Psychosocial Factors,Social/Community,,No,No,more than half a day to a day,,monthly,,,NA,NA,Emotional,,,I was not feeling up to fulfilling my goal with more routine walking and light weight lifting.,While out on the errand with my good friend I did walk around some in the grocery store.,Substituted activity,,,,,,
S121,S130,goal2,S121goal2,,circ2,Increasing my financial security,Financial Stability/Safety,circ2,S121goal2circ2,Long term,,Employment,No,,barrier,lack of employment options due to chronic illness,Behaviors and Biological Factors,Behavior/Biological,,Yes,Yes,longer than a year,,daily,not okay,non-recurring,"Finanially, physically, emotionally (lack of access to resources, increased stress, decreased self-esteem).",n/a,Emotional,Financial,,Lack of income and depletion of savings.,Pursuing an education which will lead to a career path that will accomodate my needs and limitations.,Substituted activity,,,,,,
S121,S130,goal1,S121goal1,,circ3,Managing daily life with the limitations imposed by a chronic illness,Manage chronic condition,circ3,S121goal1circ3,Medium term,,Pain,No,,barrier,Physical limitations,Psychosocial Factors,Behavior/Biological,,Yes,Yes,longer than a year,,daily,not okay,non-recurring,"Physically, mentally, and emotionally challenging. Missed opportunities. Daily struggles with tasks that others take for granted. Preventing me from doing the things that I need or want to do, or responding to new challenges.","Relearning new ways to accomplish tasks and complete activities. Redefine my goals to fit within my capabilities, Renegotiate previously held ideas of self worth and acknowledge my limitations.",Emotional,,,"Difficulty making plans and keeping commitments, inability to perform needed tasks, unpredictability of symptom occurrence. Not having the energy capacity to complete needed tasks.","therapies and medication to improve physical condition, learning to stop pushing myself beyond my capacity, adapt my activities to accomodate my limitations. Pacing, planning ahead for energy expenditure and prioritizing tasks based on importance, accepting when rest is needed.",Changed/ adopted support,,,,,,
S122,S131,goal2,S122goal2,,circ2,Go out and work from somewhere else at least once per week,Work/Career,circ2,S122goal2circ2,Medium term,,Internal - Feelings and thoughts,No,,barrier-unconfident,Too tired,Behaviors and Biological Factors,Behavior/Biological,,No,No,multiple days to a week,,monthly,,,"I felt guilty, anxious, annoyed at myself, and very unproductive because I got less done",NA,Emotional,,,NA,Didn't do it,Skipped,,,,,,
S122,S131,goal4,S122goal4,,circ2,Apply for jobs at least once per week,Work/Career,circ2,S122goal4circ2,Medium term,,Internal - Feelings and thoughts,No,,barrier-unconfident,Mental health stuff gets in the way,Behaviors and Biological Factors,Psychosocial,,No,No,multiple days to a week,,monthly,,,"It causes sort of a feedback loop. I feel bad, so I don't do as well on applications or I don't apply to things, then I feel worse.",NA,Emotional,,,NA,"I usually push through it, but I often feel like I did a worse job on my application or cover letter because of it.",No change,,,,,,
S122,S131,goal1,S122goal1,,circ2,Work out three times per week,Physical Activity,circ1,S122goal1circ1,Medium term,,Pain,No,,event-internal,"Injured back is acting up, and I'm worried about making it worse by working out",Living and Working Conditions,Behavior/Biological,,No,No,multiple days to a week,,every other week,,,"It made me feel anxious and annoyed because I would like to go to physical therapy, but I can't afford it.","Ask my partner for a back rub, which he doesn't like doing",Emotional,,,NA,I altered my workout by doing less strenuous activity and skipping parts of the workout,Substituted activity,,,,,,
S122,S131,goal1,S122goal1,,circ3,Work out three times per week,Physical Activity,circ2,S122goal1circ2,Medium term,,Weather,No,,event-external,It's too hot,Psychosocial Factors,Living/Working,,No,No,multiple days to a week,,every other week,,,"I felt physically tired, emotionally exhausted, and dysphoric",NA,Emotional,,,NA,I skipped it,Skipped,,,,,,
S08,S08,goal3,S08goal3,,circ3,graduate college,Education/Learning,circ2,S08goal3circ2,Medium term,,Finances,Yes,,barrier,money struggles,Psychosocial Factors,Psychosocial,No,No,Yes,multiple days to a week,,weekly,,,stressed,,Emotional,,,,working harder to fix money issues,Other,,,,,,
S09,S09,goal1,S09goal1,,circ3,Save for bigger house,Housing,circ3,S09goal1circ3,Long term,r10,Finances,No,,event-external,Bills going up,Psychosocial Factors,Psychosocial,Yes,No,No,multiple months to a year,,monthly,,,Worry about the price change and how we will afford it,,Financial,,,Now we have less to save,Less for saving and more for bills for the time being,Changed quantity,,,,,,
S122,S131,goal3,S122goal3,,circ2,Stay on the budget I've set for myself,Financial Stability/Safety,circ2,S122goal3circ2,Medium term,,Entertainment,No,,event-internal,I want to do something fun or treat myself,Psychosocial Factors,Psychosocial,,No,No,multiple weeks to a month,,monthly,,,Added more financial stress to my brain,More planning and math to figure out what I need to do to make up for what I spent.,Financial,Logistical,,NA,"Sometimes I will allow myself to go over budget, but then cut corners somewhere else to make up for it (e.g. buy fewer groceries)",Skipped,,,,,,
S122,S131,goal4,S122goal4,,circ1,Apply for jobs at least once per week,Work/Career,circ1,S122goal4circ1,Medium term,,Employment,No,,event-external,Can't find jobs I want to apply to,Living and Working Conditions,Socioeconomic/Political,,No,No,multiple days to a week,,monthly,,,"Feeling stressed, financially and emotionally, feeling guilty and bad about myself",Picking up other side gigs to make money in the mean time,Emotional,Logistical,,NA,I skipped applying for jobs that week,Skipped,,,,,,
S123,S132,goal1,S123goal1,,circ1,Working out twice a week,Physical Activity,circ1,S123goal1circ1,Medium term,,Travel,No,,event-external,Weekend vacation,Psychosocial Factors,Living/Working,,No,No,multiple days to a week,,every 6 months,,,Became very physically exhausted,"Plan, pack and prepare for weeks in advance",Emotional,,,Unable to make it to my gym,I skipped it but walked a lot instead,Substituted activity,,,,,,
S123,S132,goal1,S123goal1,,circ2,Working out twice a week,Physical Activity,circ2,S123goal1circ2,Medium term,,Pain,No,,event-internal,Chronic pain,Behaviors and Biological Factors,Behavior/Biological,,No,No,more than half a day to a day,,every other week,,,"My body and head hurt, made doing anything difficult",Went to sleep far earlier than usual just to escape the pain,Emotional,,,I was in too much pain to go to the gym,I skipped it,Skipped,,,,,,
S123,S132,goal2,S123goal2,,circ1,Reading more,Recreation,circ1,S123goal2circ1,Medium term,,Work,No,,event-external,School started,Living and Working Conditions,Living/Working,,No,No,multiple days to a week,,weekly,,,Additional stressors,NA,Emotional,,,I felt too stressed to calmly read a book,I didn’t read,Skipped,,,,,,
S124,S133,goal2,S124goal2,,circ2,Research the area of spirituality that interests me more,Mental health and wellbeing,circ2,S124goal2circ2,Medium term,,Housework,Yes,,not enough information,Focused on other things that needed to get done,Psychosocial Factors,Psychosocial,,No,No,longer than a year,,weekly,,,None,"Pursued various obligations, hobbies and other such things instead of this.",No labor- positive disruption,,,Worked on or engaged with other things of obligation or interest.,Skipped it and put it aside for other things.,Paused,,,,,,
S124,S133,goal2,S124goal2,,circ4,Research the area of spirituality that interests me more,Mental health and wellbeing,circ4,S124goal2circ4,Medium term,,Housework,Yes,,not enough information,Distracted with other more important happenings,Psychosocial Factors,Psychosocial,,No,No,longer than a year,,weekly,,,None,None,No response,,,"Other more important things in life became my main focus, such as my family and friends, world happenings, and other things I needed to work on more urgently.","Skipped it, mostly.",Paused,,,,,,
S124,S133,goal1,S124goal1,,circ1,Get back to where I'm drawing more actively,Recreation,circ1,S124goal1circ1,Medium term,,Internal - Feelings and thoughts,No,,barrier-unconfident,Been tired,Behaviors and Biological Factors,Behavior/Biological,,No,No,multiple days to a week,,weekly,,,I haven't felt bad outside of just being kind of fatigued.,Rest up a bit extra whenever I am able.,No labor- positive disruption,,,I've sometimes just not drawn at all.,I've spent less time drawing because I just haven't felt like it.,Paused,,,,,,
S124,S133,goal1,S124goal1,,circ4,Get back to where I'm drawing more actively,Recreation,circ4,S124goal1circ4,Medium term,,Social interaction - other,No,,barrier-unconfident,Busy helping other people with things,Psychosocial Factors,Social/Community,,No,No,multiple days to a week,,weekly,,,"Nothing negative, I enjoy helping people with things.",None,No labor- positive disruption,,,"Spent more time helping people with emotional, life, or various tech-based issues. (No regrets! This was a better use of time, in my opinion.)",Skipped trying to draw a little extra entirely.,Paused,,,,,,
S124,S133,goal1,S124goal1,,circ3,Get back to where I'm drawing more actively,Recreation,circ3,S124goal1circ3,Medium term,,Internal - Feelings and thoughts,No,,barrier-unconfident,Lack of interest,Psychosocial Factors,Psychosocial,,No,No,multiple months to a year,,every other week,,,"Not terribly, though it's made me a bit sad losing touch with something I used to be passionate about.",Spent more time doing various other things.,No labor- positive disruption,,,None,"Just overall drew less out of a lack of enjoyment in it, making it harder to get back into the habit of doing so.",Paused,,,,,,
S124,S133,goal2,S124goal2,,circ1,Research the area of spirituality that interests me more,Mental health and wellbeing,circ1,S124goal2circ1,Medium term,,Internal-Skills,No,,barrier-unconfident,Unsure where to start,Psychosocial Factors,Psychosocial,,No,No,multiple months to a year,,monthly,,,"Flustered me a bit, but nothing terrible.",None,No labor- positive disruption,,,Got overwhelmed and just stepped away from it entirely.,I skipped it sometimes instead of trying to find a good starting point.,Paused,,,,,,
S124,S133,goal1,S124goal1,,circ2,Get back to where I'm drawing more actively,Recreation,circ2,S124goal1circ2,Medium term,,Housework,No,,barrier-unconfident,Busy with other projects,Psychosocial Factors,Living/Working,,No,No,multiple weeks to a month,,every other week,,,"Not in a negative way - I enjoy my other projects, I'd just let to get to where I'm pursuing drawing more actively again because it used to be important to me.",None,No labor- positive disruption,,,None,"I draw less to make time for other things that I want to work on, such as writing.",Paused,,,,,,
S124,S133,goal2,S124goal2,,circ3,Research the area of spirituality that interests me more,Mental health and wellbeing,circ3,S124goal2circ3,Medium term,,Internal - Feelings and thoughts,Yes,,barrier-unconfident,Lacked the drive to do it,Psychosocial Factors,Psychosocial,,No,No,longer than a year,,monthly,,,"Not terribly, though I sometimes found it slightly disheartening. Only slightly!",None,No labor- positive disruption,,,Found that there was too much information and that it felt like a lot of work to get started.,"Simply didn't, or otherwise looked into it much less.",Paused,,,,,,
S125,S134,goal2,S125goal2,,circ1,Always research something once a day before bed,Education/Learning,circ1,S125goal2circ1,Medium term,,Entertainment,No,,barrier-unconfident,I was distracting myself with escapism,Psychosocial Factors,Psychosocial,,No,No,more than an hour to half a day,,weekly,,,It made me feel like I had wasted a little bit of time,none,Emotional,,,Felt exhausted and wanted to distract myself with jigsaw puzzles,none,Skipped,,,,,,
S125,S134,goal4,S125goal4,,circ1,Practice gratitude at least once a day,Mental health and wellbeing,circ1,S125goal4circ1,Medium term,,Housework,No,,barrier-unconfident,Daily obligations,Psychosocial Factors,Living/Working,,No,No,more than half a day to a day,,weekly,,,It caused excessive amounts of stress,none,Emotional,,,My head was filled with tasks to complete that I forgot to be thankful,I made sure to practice gratitude soon after waking up instead of later in the day,Changed quantity,,,,,,
S125,S134,goal1,S125goal1,,circ1,Working out four times a day,Physical Activity,circ1,S125goal1circ1,Medium term,,No disruption,No,,not enough information,NA,,No response,,No,No,No response,,No response,,,NA,none,No response,,,NA,none,No change,,,,,,
S125,S134,goal3,S125goal3,,circ1,Practice tantric meditation at least once a day,Mental health and wellbeing,circ1,S125goal3circ1,Medium term,,No disruption,No,,not enough information,NA,,No response,,No,No,No response,,No response,,,none,none,No response,,,none,none,No change,,,,,,
S126,S135,goal1,S126goal1,,circ2,Lose weight,Weight management,circ2,S126goal1circ2,Long term,,Pain,No,,event-internal,Pain in hip and knee,Behaviors and Biological Factors,Behavior/Biological,,No,No,more than an hour to half a day,,weekly,,,Being in pain makes it difficult to feel motivated to work out or exercise.,I have tried engage in stretching exercises that can help with hip and knee issues.,Emotional,Physical,,N/A,I took over the counter pain relief medication.,Other,,,,,,
S09,S09,goal1,S09goal1,,circ4,Save for bigger house,Housing,circ4,S09goal1circ4,Long term,,Finances,No,,event-external,Unexpected expenses,Psychosocial Factors,Psychosocial,No,No,No,multiple days to a week,,every 6 months,,,You don’t expect them so they can be stressful and make you anxious,,Emotional,Financial,,Harder to save up when the money is going elsewhere,Less money is being saved right now,Changed quantity,,,,,,
